"140","2015-02-02 14:19:00",23.7,26.272,585.2,749.2,0.00476416302416414,1
"416","2015-02-02 18:55:00",21.5,24.26,0,650.333333333333,0.00384355240302953,0
"141","2015-02-02 14:19:59",23.718,26.29,578.4,760.4,0.00477266099212519,1
"142","2015-02-02 14:21:00",23.73,26.23,572.666666666667,769.666666666667,0.00476515255246541,1
"143","2015-02-02 14:22:00",23.7225,26.125,493.75,774.75,0.00474377335599685,1
"144","2015-02-02 14:23:00",23.754,26.2,488.6,779,0.00476659399998615,1
"145","2015-02-02 14:23:59",23.76,26.26,568.666666666667,790,0.00477933243163454,1
"146","2015-02-02 14:25:00",23.73,26.29,536.333333333333,798,0.00477613633274892,1
"147","2015-02-02 14:25:59",23.754,26.29,509,797,0.00478309370839038,1
"148","2015-02-02 14:26:59",23.754,26.35,476,803.2,0.00479409399662041,1
"366","2015-02-02 18:04:59",22.39,25,0,805.5,0.0041841297156888,0
"367","2015-02-02 18:06:00",22.35,24.978,0,791.4,0.00417019632275524,0
"368","2015-02-02 18:07:00",22.3233333333333,25,0,779.333333333333,0.00416708241580403,0
"369","2015-02-02 18:08:00",22.365,24.9725,0,780.75,0.00417310345378263,0
"370","2015-02-02 18:08:59",22.315,24.89,0,781.75,0.00414650784083818,0
"371","2015-02-02 18:10:00",22.29,24.9175,0,781,0.00414476697940617,0
"372","2015-02-02 18:10:59",22.29,24.912,0,778.4,0.00414384601663705,0
